City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
459,Freeport,40.6576,-73.5832,42.03,82,100,1.99,US,2022-02-02 22:59:00,fog
460,Victor Harbor,-35.5667,138.6167,64.0,67,98,1.99,AU,2022-02-02 23:03:38,overcast clouds
461,Valkla,59.4744,25.3186,23.67,89,100,3.67,EE,2022-02-02 23:03:38,overcast clouds
462,Sur,22.5667,59.5289,71.51,57,4,18.07,OM,2022-02-02 23:04:38,clear sky
463,Elko,41.0002,-115.5012,26.74,39,9,8.99,US,2022-02-02 23:04:39,clear sky
464,Marsa Matruh,31.3525,27.2453,55.83,52,98,14.25,EG,2022-02-02 23:04:39,overcast clouds
465,Akureyri,65.6835,-18.0878,13.15,93,74,3.49,IS,2022-02-02 23:02:51,broken clouds
466,Erenhot,43.6475,111.9767,-3.69,94,7,4.43,CN,2022-02-02 23:04:20,clear sky
467,Ugoofaaru,5.6667,73.0,81.19,71,19,6.67,MV,2022-02-02 23:04:40,few clouds
468,Utica,43.1009,-75.2327,41.31,72,93,1.01,US,2022-02-02 23:04:40,overcast clouds
469,Taksimo,56.3444,114.8794,-21.84,92,17,2.62,RU,2022-02-02 23:03:24,few clouds
470,Mwinilunga,-11.7358,24.4293,61.0,96,99,1.61,ZM,2022-02-02 23:04:41,light rain
471,Luzhou,28.8724,105.4405,39.34,91,31,2.66,CN,2022-02-02 23:04:41,scattered clouds
472,Havelock,34.8791,-76.9013,56.93,80,53,5.28,US,2022-02-02 23:01:50,broken clouds
473,Kiunga,-6.1219,141.2906,79.52,70,95,1.07,PG,2022-02-02 23:04:42,overcast clouds
474,Houma,29.5958,-90.7195,73.99,100,100,6.24,US,2022-02-02 23:04:42,overcast clouds
475,Bend,44.0582,-121.3153,42.15,55,40,1.01,US,2022-02-02 23:04:24,scattered clouds
476,Vicuna,-30.0319,-70.7081,78.76,54,2,6.62,CL,2022-02-02 23:04:43,clear sky
477,Yar-Sale,66.8333,70.8333,0.64,97,100,13.38,RU,2022-02-02 23:01:37,light snow
478,Okhotsk,59.3833,143.3,7.25,76,100,14.81,RU,2022-02-02 23:04:43,overcast clouds
479,Thinadhoo,0.5333,72.9333,82.2,71,8,6.51,MV,2022-02-02 23:04:44,clear sky
480,Kuching,1.55,110.3333,75.42,94,20,1.14,MY,2022-02-02 23:04:44,few clouds
481,Davidson,36.1501,-86.7833,53.15,85,100,4.0,US,2022-02-02 23:01:58,mist
482,Lloydminster,53.2835,-110.0016,-13.81,92,36,10.45,CA,2022-02-02 23:01:39,scattered clouds
483,Aquiraz,-3.9014,-38.3911,82.49,82,48,8.75,BR,2022-02-02 23:04:45,scattered clouds
484,Kahului,20.8947,-156.47,81.97,74,1,5.99,US,2022-02-02 23:00:30,clear sky
485,Port Macquarie,-31.4333,152.9167,68.9,100,100,12.66,AU,2022-02-02 23:01:09,light rain
486,Madang,-5.2246,145.7966,79.29,77,99,4.9,PG,2022-02-02 23:04:46,light rain
487,Kalianget,-7.05,113.9333,76.37,87,98,11.03,ID,2022-02-02 23:04:46,overcast clouds
488,Herat,34.5,62.0,35.38,57,0,2.57,AF,2022-02-02 23:04:46,clear sky
489,Bansi,27.1833,82.9333,53.69,70,92,7.81,IN,2022-02-02 23:04:47,overcast clouds
490,Cervo,43.6702,-7.4101,51.96,80,92,6.33,ES,2022-02-02 23:04:47,overcast clouds
491,Maputo,-25.9653,32.5892,79.23,87,0,1.01,MZ,2022-02-02 23:04:48,clear sky
492,Redmond,47.674,-122.1215,43.79,82,100,1.01,US,2022-02-02 23:01:10,overcast clouds
493,Belyy Yar,53.6039,91.3903,-16.71,76,75,0.0,RU,2022-02-02 23:01:19,fog
494,Katobu,-4.9408,122.5276,77.05,86,100,1.95,ID,2022-02-02 23:04:48,overcast clouds
495,Hamilton,39.1834,-84.5333,45.21,95,100,1.99,US,2022-02-02 23:04:49,moderate rain
496,Bam,29.106,58.357,47.82,42,0,5.64,IR,2022-02-02 23:04:49,clear sky
497,Ushtobe,45.2514,77.9838,16.12,87,100,4.47,KZ,2022-02-02 23:04:50,overcast clouds
498,Moanda,-1.5575,13.2178,72.55,89,100,2.46,GA,2022-02-02 23:04:50,light rain
499,Ula,22.7225,88.5556,66.18,94,20,0.0,IN,2022-02-02 23:04:50,mist
500,Tanout,14.9709,8.8879,60.75,15,2,11.88,NE,2022-02-02 23:04:51,clear sky
501,Carauari,-4.8828,-66.8958,73.36,98,100,1.68,BR,2022-02-02 23:04:51,moderate rain
502,Tupik,54.4253,119.9327,-22.4,97,19,2.57,RU,2022-02-02 23:04:52,few clouds
503,Cooma,-36.2333,149.1333,53.37,71,100,13.8,AU,2022-02-02 23:04:52,overcast clouds
504,Yarada,17.65,83.2667,70.12,100,20,2.3,IN,2022-02-02 23:04:52,mist
